label,field_name,section,max_count,required,accepted_values,example,definition
SDoC Contact Email Address,fcc_radio_frequency_emission_compliance_point_of_contact_email,Compliance,1,Optional,"If the device has an SDoC, provide an e-mail address (in this field) or a US phone number (in the next field) for the Responsible Party, as defined by the FCC. If you provide a phone number in the next field, you may enter ""N/A"" in this field.",,
SDOC Contact US Phone Number,fcc_radio_frequency_emission_compliance_point_of_contact_phone_number,Compliance,1,Optional,"If the device has an SDoC, provide a US phone number (in this field) or an e-mail address (in the prior field) for the Responsible Party, as defined by the FCC. If you provide an e-mail address in the prior field, you may enter ""N/A"" in this field.",,
SDoC Contact Name,fcc_radio_frequency_emission_compliance_point_of_contact_name,Compliance,1,Optional,"If the device has a Supplier's Declaration of Conformity, provide the name of the point of contact for the Responsible Party, as defined by the FCC.",,
FCC ID,fcc_radio_frequency_emission_compliance_identification_number,Compliance,1,Optional,"If the device has an FCC ID, provide it.",,
SDoC Contact US Mailing Address,fcc_radio_frequency_emission_compliance_point_of_contact_address,Compliance,1,Optional,"If the device has a Supplier's Declaration of Conformity, provide a US mailing address for the Responsible Party, as defined by the FCC.",,
Shipping-Template,merchant_shipping_group_name,Offer,1,Optional,The ship configuration group for an offer. The ship configuration group is created and managed by the seller through the ship setting UI.,"""Free Shipping Template"", ""Default Template""","Sellers can create a set of ship configurations based on business needs and use cases. The ship configurations can be region based and have rules to set SLA and rate for the region. When listing product to create offer, seller needs to select one ship configuration for the product. The ship configuration will be used to retrieve the valid ship options on the website."
Product Tax Code,product_tax_code,Offer,1,Optional,Enter the product tax code supplied to you by Amazon.com.,A_GEN_NOTAX,Amazon.com's standard code to identify the tax properties of a product.
List Price,list_price,Offer,1,Optional,"Provide the list price for the product not including tax. List Price is the suggested retail price of a product as provided by a manufacturer, supplier, or seller. This is not the offering or cost price. If you are unable to provide a list price, enter a value of 0",259.99,"Manufacturer's suggested retail price or list price for the product. This is not the same as the offering price, which is specified in the item-price field."
Currency,currency,Offer,1,Optional,Three letter currency code,USD,"The currency code for price data.  This is required if map, msrp, standard_price, or sale_price is provided.  The same currency will apply to all price-related fields."
Minimum Advertised Price,map_price,Offer,1,Optional,"For MAP (Minimum Advertised Price) based pricing.  If you have never heard this term before, this function probably does not apply to you.",259.99,"For MAP (Minimum Advertised Price) based pricing. If you have never heard this term before, this function probably does not apply to you."
Max Order Quantity,max_order_quantity,Offer,1,Optional,The maximum quantity of the product that a customer may purchase in one order,10,Maximum number of items that can be ordered
Handling Time,fulfillment_latency,Offer,1,Optional,"Indicates the time, in days, between when you receive an order for an item and when you can ship the item.  The default is one to two business days. Use this field if you expect to take longer than two business days.",5,"Indicates the time, in days, between when you receive an order for an item and when you can ship the item. The default production time is one to two business days. Use this field if your production time is greater than two business days."
Item Condition,condition_type,Offer,1,Optional,"Used; Like New
Used; Very Good
Used; Good
Used; Acceptable
Collectible; Like New
Collectible; Very Good
Collectible; Good
Collectible; Acceptable
New",New,A numerical entry that indicates the condition of the item. Review the condition guidelines definitions.
Condition Note,condition_note,Offer,1,Optional,"A text string with a maximum of 1,000 characters. The Condition Note field doesn’t allow special characters.",Small dent in left side panel.,"Descriptive text explaining the item’s condition. This Condition Note field is limited to 1000 characters for all Used, Collectible, and Refurbished items. Condition notes are not accepted for products with a condition type of new."
Sale Price,sale_price,Offer,1,Optional,Up to 18 digits. Commas and currency symbols cannot be used.,219.99,"If you use this field, please also set values for Standard Price (standard_price), Sale Start Date (SaleStartDate), and Sale End Date (SaleEndDate).
Consumption tax shall be included. You won't be taxed separatedly by Amazon. 
If you set a variation, please only input for the child SKU.
Be sure to set the currency code (Currency) as well.
Please always input a valid value (0 ~ 50) for sale_price_points_percent when you input or update sale_price"
Sale Start Date,sale_from_date,Offer,1,Optional,The date that the sale price will begin to override the product's standard price; the sale price will be displayed after 0:00AM of Sale From Date.,2017-06-30,The date that the sale price will begin to override the product's standard price; the sale price will be displayed after 0:00AM of Sale From Date. Use the format yyyy-mm-dd.
Sale End Date,sale_end_date,Offer,1,Optional,The last date that the sale price will override the item's standard price; the product's standard price will be displayed after 0:00AM of Sale End Date.,2017-07-01,The last date that the sale price will override the item's standard price; the product's standard price will be displayed after 0:00AM of Sale End Date. Use the format yyyy-mm-dd.
Number of Items,number_of_items,Offer,1,Optional,The number of items that are included in the product,6,A whole number
Offering Can Be Gift Messaged,offering_can_be_gift_messaged,Offer,1,Optional,Select: true or false,TRUE,"If you can print a gift message with the item indicate that here.  If left blank, defaults to 'false'."
Is Gift Wrap Available,offering_can_be_giftwrapped,Offer,1,Optional,Select: True or False,"False, True","If you can gift wrap an item indicate that here.  If left blank, defaults to 'false'."
